,Captain,Span
0,Moin Khan (PAK),1995-2001
1,SR Waugh (AUS),1997-2002
2,ADR Campbell (ZIM),1996-2002
3,ST Jayasuriya (SL),1998-2003
4,Waqar Younis (PAK),1993-2003
5,CL Hooper (WI),1997-2003
6,HH Streak (ZIM),2000-2004
7,SC Ganguly (Asia/INDIA),1999-2005
8,SM Pollock (Afr/ICC/SA),2000-2005
9,MS Atapattu (SL),2001-2006
10,Khaled Mashud (BDESH),2001-2006
11,SP Fleming (NZ),1997-2007
12,BC Lara (WI),1994-2007
13,Inzamam-ul-Haq (Asia/PAK),2002-2007
14,R Dravid (INDIA),2000-2007
15,Habibul Bashar (BDESH),2004-2007
16,Mohammad Ashraful (BDESH),2007-2009
17,Shoaib Malik (PAK),2007-2009
18,P Utseya (ZIM),2006-2010
19,CH Gayle (WI),2007-2010
20,GC Smith (Afr/SA),2003-2011
21,DL Vettori (NZ),2004-2011
22,KC Sangakkara (SL),2009-2011
23,RT Ponting (AUS/ICC),2002-2012
24,DPMD Jayawardene (Asia/SL),2004-2013
25,DJG Sammy (WI),2010-2013
26,Shahid Afridi (PAK),2009-2014
27,DJ Bravo (WI),2007-2014
28,Mushfiqur Rahim (BDESH),2011-2014
29,Misbah-ul-Haq (PAK),2008-2015
30,MJ Clarke (AUS),2008-2015
31,BRM Taylor (ZIM),2011-2015
32,MS Dhoni (INDIA),2007-2016
33,AD Mathews (SL),2012-2016
34,E Chigumbura (ZIM),2010-2016
35,BB McCullum (NZ),2009-2016
36,AB de Villiers (SA),2012-2017
37,Shakib Al Hasan (BDESH),2009-2017
38,Mashrafe Mortaza (BDESH),2010-2017
39,SPD Smith (AUS),2015-2017
40,KS Williamson (NZ),2012-2017
41,JO Holder (WI),2015-2017
42,Azhar Ali (PAK),2015-2017
